136	141	110	126	136	141	141	136	141	126	110	101	110	95	101	95	110	95	95	95	110	95	95	110	101	95	110	126	110	116	136	126	116	95	95	95	95	95	95	70	95	95	95	95	95	70	95	76	95	95	70	116	95	116	101	110	101	95	95	101	70	101	70	95	76	70	55	70	55	70	70	80	70	55	70	95	95	95	95	101	95	76	101	70	95	86	70	101	55	70	55	70	55	55	70	55	70	55	95	70	70	101	70	101	70	55	70	95	76	80	76	95	70	70	55	55	70	30	55	70	55	70	55	76	95	70	55	101	55	70	70	70	76	95	76	70	55	70	55	70	70	55	30	70	55	70	55	70	55	70	76	70	55	70	80	70	70	101	95	76	70	70	55	70	30	70	55	70	55	70	55	55	55	55	55	70	61	70	55	76	95	76	95	101	55	70	55	70	55	70	70	55	70	55	70	55	55	55	55	55	70	70	70	70	95	76	95	76	95	76	80	70	95	76	95	70	95	70	70	55	55	70	55	70	55	70	55	95	70	95	70	95	55	70	95	76	95	70	95	70	95	55	70	55	70	55	70	55	70	55	55	70	70	95	70	70	95	70	95	70	95	95	76	95	95	55	70	95	70	61	70	95	70	70	55	70	70	70	95	70	95	70	95	101	110	101	110	101	70	95	76	95	76	95	101	95	101	95	70	70	70	70	70	95	70	95	101	95	95	141	95	141	101	110	95	110	101	110	141	101	110	101	95	95	95	95	95	95	95	95	95	95	141	120	116	141	136	95	136	136	136	141	160	141
136	95	136	120	136	141	136	141	136	116	120	110	101	95	110	101	120	95	95	95	95	95	95	95	95	95	95	95	101	136	101	136	95	136	95	95	95	95	95	95	101	95	70	70	55	101	70	55	95	70	95	101	95	116	95	101	110	101	70	95	95	101	95	70	95	70	55	70	70	55	70	70	55	95	70	95	70	101	70	70	95	70	95	76	95	70	95	70	70	70	55	70	70	70	55	70	70	55	70	76	95	70	70	70	55	76	95	70	95	76	95	70	101	70	70	55	70	55	70	55	70	55	70	55	70	55	70	70	55	70	80	76	95	76	95	70	101	70	70	55	70	55	70	70	55	70	55	70	55	70	55	55	70	76	70	76	95	76	70	80	70	61	70	70	55	70	70	70	70	55	70	70	30	70	70	55	70	55	70	70	101	70	101	70	70	70	95	76	95	95	70	95	70	55	70	30	70	55	70	55	55	55	70	101	70	70	70	80	70	70	101	70	101	95	70	101	55	70	55	70	70	55	70	55	70	55	70	70	70	95	76	95	70	95	70	95	101	95	70	101	70	70	95	55	70	70	80	70	55	70	70	55	70	55	70	95	55	70	95	76	95	116	95	70	76	95	76	95	70	95	70	61	70	80	70	55	70	80	70	55	70	70	95	70	101	95	95	101	95	76	95	95	101	95	70	95	95	76	95	95	55	95	70	55	95	70	95	95	101	95	101	95	95	95	101	110	126	110	126	110	126	110	95	95	95	95	110	95	95	110	120	110	95	110	120	95	110	136	120	141	136	136	166	176
95	95	95	110	95	136	141	136	126	136	136	126	110	141	120	141	110	120	110	95	95	95	95	70	95	95	95	95	110	95	141	110	126	110	95	110	95	110	101	110	95	95	95	101	70	70	80	70	70	70	70	95	70	95	101	95	70	95	101	95	101	95	95	101	101	95	101	80	70	95	55	70	95	70	55	70	95	70	70	95	70	76	55	70	101	70	101	101	70	95	70	55	70	55	70	55	70	55	70	55	70	61	70	55	70	70	55	70	76	95	101	70	95	55	95	70	55	70	70	70	55	70	55	70	55	70	55	55	70	55	70	95	70	101	95	101	70	86	70	95	70	70	95	55	70	70	55	70	30	55	30	70	55	55	70	55	101	70	95	76	70	70	61	70	95	61	70	80	70	70	55	55	70	30	55	30	70	55	76	55	70	61	70	70	80	76	55	95	70	76	95	76	55	70	70	55	70	55	70	30	70	70	55	70	55	95	55	70	70	55	70	101	70	101	95	70	95	55	70	55	70	55	70	55	70	55	70	55	55	70	55	70	55	76	70	95	76	95	76	95	55	95	70	70	95	95	70	70	95	70	95	55	95	70	70	55	70	55	70	95	70	101	95	101	95	70	95	101	95	101	101	95	95	70	70	95	70	70	55	70	95	55	70	95	95	110	76	110	95	116	95	76	95	101	110	101	95	95	70	95	70	95	70	95	70	95	70	70	95	95	95	95	110	95	95	95	110	126	110	126	110	95	95	116	95	110	120	95	136	95	95	95	95	95	95	95	95	95	95	110	120	136	136	136
95	110	120	95	141	136	141	136	141	110	120	110	120	141	110	141	136	141	95	136	95	95	95	95	95	95	95	101	95	101	95	95	110	95	101	120	110	126	110	126	110	101	95	101	95	101	70	101	95	95	70	70	95	70	70	95	95	70	95	70	110	101	116	95	95	70	95	70	95	70	95	70	55	70	70	55	70	55	70	55	55	70	70	80	70	95	95	95	101	70	95	70	55	101	70	70	70	55	70	55	70	55	70	55	70	55	76	95	55	95	70	95	76	70	70	95	76	95	55	70	70	55	70	55	70	30	70	55	70	55	70	55	70	70	76	70	70	70	55	70	55	101	70	70	95	55	70	55	70	55	70	30	70	55	55	70	55	70	55	70	55	95	70	70	101	70	95	76	70	55	70	70	55	70	70	55	70	30	70	55	70	70	55	70	55	70	70	70	101	95	95	101	70	95	55	70	70	70	55	70	55	70	55	70	55	45	55	70	55	70	70	95	70	95	76	95	70	95	70	70	95	70	70	70	70	70	55	70	70	55	70	55	70	55	95	70	95	76	95	70	76	95	76	95	76	101	95	76	95	70	61	70	70	55	55	70	55	70	70	70	101	70	70	95	70	95	70	95	101	110	95	101	70	101	95	55	70	95	70	55	70	70	55	70	70	95	70	95	76	95	95	110	101	110	101	110	95	95	95	95	95	101	95	95	95	95	95	95	70	95	70	95	95	95	95	101	110	126	110	141	101	136	101	136	126	136	116	141	136	141	136	95	95	95	95	110	95	120	110	95	95	136	141	136
141	141	95	116	120	95	95	136	95	120	110	120	110	136	120	141	136	141	136	101	136	116	116	95	116	95	95	95	95	95	95	95	101	95	95	101	95	110	126	110	101	136	101	110	95	95	110	101	95	101	95	95	70	95	55	70	70	70	70	95	95	95	95	116	95	95	70	95	70	101	70	101	95	76	55	70	55	76	55	70	70	55	55	70	95	70	70	95	70	95	70	95	95	70	101	95	101	70	95	70	55	70	55	76	55	70	55	55	70	70	55	70	55	95	55	70	95	76	95	101	95	70	55	70	55	70	55	70	55	70	55	70	55	55	70	55	55	70	80	70	76	95	70	101	70	76	70	55	70	55	70	55	70	30	70	30	70	55	70	55	70	55	76	55	70	95	76	95	70	95	70	95	70	61	70	55	70	55	55	70	55	55	55	55	70	55	70	55	70	95	76	70	95	70	76	95	76	95	76	95	101	70	70	55	70	55	70	55	70	61	70	55	76	95	70	80	70	70	95	61	95	76	101	101	95	101	70	55	55	70	55	70	55	70	55	55	70	55	70	95	70	55	70	95	101	70	101	95	76	95	70	95	55	70	70	70	70	76	55	70	55	70	70	55	70	70	95	70	95	70	95	95	95	70	70	95	70	95	70	95	70	80	70	95	55	70	55	70	55	70	70	95	95	110	95	116	95	110	95	101	95	95	110	101	101	95	76	95	70	95	70	95	70	95	95	95	95	110	101	95	136	95	110	120	116	136	141	136	141	141	136	141	110	136	101	136	126	116	110	126	110	95	95	136
141	141	120	110	95	110	95	95	95	95	95	95	136	126	136	141	136	101	110	95	95	95	120	116	95	116	95	95	95	95	70	95	70	70	95	70	95	101	110	95	136	95	95	95	95	116	95	95	116	95	95	70	70	55	70	55	70	80	70	70	101	95	116	95	95	70	95	70	95	95	101	95	101	95	76	70	55	70	55	70	55	70	70	55	70	95	70	95	55	70	55	70	101	95	95	76	95	95	70	55	70	70	95	70	70	55	70	70	55	70	70	55	70	70	55	95	76	95	101	70	76	95	76	70	55	70	76	70	76	70	55	70	55	70	55	70	55	70	70	70	101	70	101	101	70	80	70	76	55	70	76	55	76	70	55	70	55	55	45	55	55	45	55	70	95	76	95	101	70	61	70	70	55	95	76	70	76	70	55	30	70	30	70	30	70	55	55	70	55	70	55	95	61	70	55	70	95	76	95	101	70	70	55	70	55	70	55	101	70	70	55	70	55	70	70	70	55	70	55	95	70	101	95	76	70	70	55	70	70	55	70	70	55	70	55	70	55	70	55	55	70	55	70	55	70	101	95	76	95	70	55	70	70	101	95	101	101	70	76	55	70	55	70	70	80	70	95	70	95	95	116	95	95	101	70	101	95	76	101	101	101	110	70	95	70	95	70	80	70	95	70	95	95	101	95	95	95	70	95	70	110	101	116	95	116	95	95	95	70	95	95	70	95	95	95	95	95	95	95	95	95	95	95	95	95	141	120	141	136	120	116	120	120	116	136	141	116	141	126	110	95	95	95	95
136	136	141	136	120	95	95	95	95	95	95	110	95	95	116	120	116	136	126	136	101	136	116	141	136	141	116	110	95	95	95	70	80	95	70	95	95	95	95	101	95	101	95	95	95	95	101	136	101	116	95	101	95	95	95	70	95	70	95	70	95	70	70	70	70	70	95	70	101	95	101	116	95	76	95	95	76	70	70	76	70	70	55	70	55	70	55	55	70	55	70	70	95	76	101	95	101	70	101	70	95	55	70	55	101	70	70	55	70	55	55	70	55	70	55	70	70	101	70	101	95	55	70	55	70	101	70	80	70	101	70	70	30	70	55	30	70	55	55	55	70	61	70	95	70	76	55	70	70	101	70	101	70	101	55	70	55	70	55	55	70	55	70	55	70	55	70	55	95	70	55	95	76	95	76	95	101	70	70	70	55	70	55	70	55	55	70	55	70	55	70	55	70	55	70	61	70	101	70	101	95	76	95	55	70	95	70	70	70	55	70	55	70	55	55	55	70	55	70	76	95	70	101	95	101	95	76	95	76	95	70	101	70	70	55	70	55	45	55	70	55	70	70	101	70	95	76	95	70	101	70	95	70	95	101	70	101	95	70	95	55	70	95	55	70	70	55	70	95	70	95	70	70	70	95	70	76	95	95	95	95	101	95	55	70	55	95	70	70	95	70	55	70	70	70	70	70	70	95	95	95	110	101	141	95	116	95	101	95	95	95	95	95	101	110	95	95	95	95	95	95	95	95	116	120	110	141	141	116	136	126	136	116	120	141	141	160	141	136	141	120	110	101	136
136	141	136	120	110	95	120	110	120	110	126	95	116	95	141	95	95	95	110	95	95	110	126	110	126	110	126	110	95	110	95	95	110	95	101	95	95	95	95	95	70	95	95	95	101	110	101	116	95	110	101	95	70	95	70	101	95	95	76	95	70	55	95	55	70	55	70	70	95	70	101	95	101	95	70	70	95	80	101	95	95	76	95	70	55	70	55	70	55	70	55	70	70	95	76	95	76	95	70	55	76	95	101	101	70	95	61	70	55	70	55	70	55	30	70	55	70	70	70	70	55	70	70	70	95	70	101	95	76	55	70	55	70	55	70	70	55	70	70	55	70	55	70	55	70	55	70	76	55	101	70	95	70	55	70	55	70	55	70	70	55	70	55	70	55	70	55	70	30	55	70	55	70	70	101	70	55	70	55	55	70	101	70	70	76	70	70	55	70	55	45	55	70	55	70	55	70	95	76	95	70	95	55	70	101	70	101	95	101	95	70	70	55	70	70	55	70	55	70	55	70	70	95	76	70	70	80	70	70	95	101	95	101	70	70	55	70	55	70	55	55	55	55	70	55	70	70	95	55	70	95	55	95	70	95	95	95	76	80	70	70	95	55	70	95	70	95	70	55	70	55	70	80	70	55	95	95	101	110	101	110	95	70	101	95	95	70	95	101	95	70	95	55	95	55	95	55	95	70	95	101	95	110	101	95	101	95	95	95	101	110	141	141	136	101	110	95	70	95	70	95	95	95	95	95	95	95	136	95	141	95	110	120	141	136	141	141	136	141	95	95	95	95	95
141	136	141	136	136	95	110	120	116	136	141	110	120	95	95	95	95	95	95	95	95	95	95	141	95	141	95	136	101	95	136	101	141	95	116	95	70	95	70	70	95	70	70	70	95	95	95	95	95	101	95	95	95	95	101	95	116	101	95	95	70	95	70	70	55	95	70	55	70	95	70	70	70	70	70	80	70	70	70	95	101	70	101	55	70	70	70	55	70	55	70	55	70	55	70	70	70	70	55	70	95	70	70	101	70	101	70	70	70	55	70	55	70	70	55	70	55	55	55	70	55	70	55	55	95	76	95	76	95	76	95	76	55	70	55	101	70	61	70	55	70	55	70	30	55	70	55	55	70	70	76	70	101	70	70	70	70	70	70	101	70	101	70	55	70	55	55	30	70	55	70	55	70	80	70	101	70	86	70	70	95	76	95	101	101	95	101	70	70	55	70	55	55	30	70	55	70	55	70	70	61	70	70	70	101	95	101	101	95	76	101	95	70	70	55	70	55	70	55	70	70	55	70	55	70	55	70	55	95	76	95	116	101	95	101	95	70	70	55	70	70	70	70	55	70	70	55	70	76	95	76	95	101	95	116	101	101	95	70	70	95	70	101	95	101	70	101	70	70	80	70	70	70	70	55	70	70	70	101	70	101	101	95	95	95	101	95	116	95	101	95	95	70	55	70	70	70	95	70	70	95	70	95	95	95	95	110	95	95	110	126	95	110	126	110	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	95	110	101	136	141	141	136	136	95	95	95	110
136	141	120	110	95	95	136	141	136	126	136	126	110	95	95	95	95	95	95	95	110	95	110	95	136	95	95	95	95	110	101	136	101	141	95	116	95	95	95	95	70	95	95	70	95	70	95	101	95	95	70	70	95	101	110	95	116	95	101	95	70	95	70	95	70	70	80	70	55	70	55	70	55	70	55	70	70	101	95	101	101	95	70	70	95	55	70	70	70	70	55	70	55	70	55	55	55	55	70	55	70	76	95	95	76	95	70	55	70	70	76	95	76	101	70	61	70	70	55	30	70	55	70	70	55	95	70	95	76	70	55	70	70	101	70	101	70	101	70	70	55	70	55	70	55	45	55	70	70	80	70	55	70	55	55	70	80	76	95	101	70	95	70	70	55	45	55	70	55	55	45	55	70	70	55	70	55	70	70	55	101	70	101	95	76	70	70	55	55	70	55	70	70	55	70	55	70	55	70	55	70	55	95	70	95	101	110	101	70	95	70	55	70	80	76	95	70	70	95	55	70	55	70	55	70	55	70	55	70	70	95	76	95	70	70	70	101	95	76	95	76	95	76	70	55	70	95	55	70	55	70	70	70	95	70	95	70	95	101	95	76	95	101	95	101	95	70	95	55	70	95	55	95	70	95	70	80	70	95	70	95	70	70	95	70	110	101	116	95	116	95	70	95	95	95	95	95	70	95	70	95	70	95	70	70	95	70	95	95	95	110	120	101	110	95	95	95	95	116	95	141	116	136	95	95	95	95	95	95	95	95	95	95	120	136	101	136	120	116	95	95	136	120	141
